iter	Passed	Remaining
912	43591	4153
913	43638	4106
914	43685	4058
915	43734	4010
916	43781	3962
917	43829	3915
918	43879	3867
919	43928	3819
920	43975	3772
921	44022	3724
922	44069	3676
923	44116	3628
924	44169	3581
925	44221	3533
926	44272	3486
927	44324	3438
928	44371	3391
929	44424	3343
930	44478	3296
931	44528	3248
932	44577	3201
933	44624	3153
934	44670	3105
935	44716	3057
936	44763	3009
937	44810	2961
938	44858	2914
939	44911	2866
940	44957	2818
941	45004	2770
942	45055	2723
943	45105	2675
944	45152	2627
945	45199	2580
946	45250	2532
947	45302	2484
948	45353	2437
949	45404	2389
950	45458	2342
951	45506	2294
952	45553	2246
953	45599	2198
954	45647	2150
955	45692	2102
956	45741	2055
957	45788	2007
958	45839	1959
959	45891	1912
960	45938	1864
961	45984	1816
962	46030	1768
963	46076	1720
964	46122	1672
965	46170	1625
966	46217	1577
967	46265	1529
968	46312	1481
969	46358	1433
970	46408	1386
971	46454	1338
972	46501	1290
973	46548	1242
974	46594	1194
975	46642	1146
976	46688	1099
977	46735	1051
978	46781	1003
979	46829	955
980	46879	907
981	46928	860
982	46975	812
983	47020	764
984	47067	716
985	47113	668
986	47160	621
987	47206	573
988	47253	525
989	47300	477
990	47345	429
991	47392	382
992	47438	334
993	47486	286
994	47534	238
995	47580	191
996	47625	143
997	47672	95
998	47717	47
999	47764	0
